participant,time_point,trans_dur,Source,Target
75,0.175,0.025000000000000022,A,B
75,0.375,0.025000000000000022,B,C
75,0.5750000000000001,0.025000000000000022,C,D
75,0.775,0.025000000000000022,D,E
75,0.975,0.025000000000000022,E,F
75,1.175,0.025000000000000133,F,G
75,1.375,0.02499999999999991,G,H
75,1.5750000000000002,0.02499999999999991,H,I
75,1.775,0.025000000000000133,I,J
75,1.975,0.02499999999999991,J,A
75,2.1750000000000003,0.02499999999999991,A,B
75,2.375,0.025000000000000355,B,C
75,2.575,0.02499999999999991,C,D
75,2.7750000000000004,0.02499999999999991,D,E
75,2.975,0.02499999999999991,E,F
75,3.1750000000000003,0.02499999999999991,F,G
75,3.375,0.025000000000000355,G,H
75,3.575,0.02499999999999991,H,I
75,3.775,0.02499999999999991,I,J
75,3.975,0.02499999999999991,J,A
75,4.175,0.025000000000000355,A,B
75,4.375,0.025000000000000355,B,C
75,4.575,0.025000000000000355,C,D
75,4.775,0.025000000000000355,D,E
75,4.9750000000000005,0.024999999999999467,E,F
75,5.175000000000001,0.024999999999999467,F,G
75,5.375,0.025000000000000355,G,H
75,5.575,0.025000000000000355,H,I
75,5.775,0.025000000000000355,I,J
75,5.9750000000000005,0.024999999999999467,J,A
75,6.175000000000001,0.024999999999999467,A,B
75,6.375,0.025000000000000355,B,C
75,6.575,0.025000000000000355,C,D
75,6.775,0.025000000000000355,D,E
75,6.9750000000000005,0.024999999999999467,E,F
75,7.175000000000001,0.024999999999999467,F,G
75,7.375,0.025000000000000355,G,H
75,7.575,0.024999999999999467,H,I
75,7.775,0.025000000000000355,I,J
75,7.975,0.025000000000000355,J,A
75,8.175,0.025000000000000355,A,B
75,8.375,0.025000000000000355,B,C
75,8.575000000000001,0.02499999999999858,C,D
75,8.775,0.025000000000000355,D,E
75,8.975,0.025000000000000355,E,F
75,9.175,0.02499999999999858,F,G
75,9.375,0.025000000000000355,G,H
75,9.575,0.025000000000000355,H,I
75,9.775,0.025000000000000355,I,J
75,9.975,0.025000000000000355,J,A
75,10.175,0.02499999999999858,A,B
75,10.375,0.025000000000000355,B,C
75,10.575,0.025000000000000355,C,D
75,10.775,0.025000000000000355,D,E
75,10.975,0.025000000000000355,E,F
75,11.175,0.02499999999999858,F,G
75,11.375,0.025000000000000355,G,H
75,11.575,0.025000000000000355,H,I
75,11.775,0.025000000000000355,I,J
75,11.975,0.025000000000000355,J,A
75,12.175,0.02499999999999858,A,B
75,12.375,0.025000000000000355,B,C
75,12.575,0.025000000000000355,C,D
75,12.775,0.025000000000000355,D,E
75,12.975,0.025000000000000355,E,F
75,13.175,0.02499999999999858,F,G
75,13.375,0.025000000000000355,G,H
75,13.575,0.025000000000000355,H,I
75,13.775,0.025000000000000355,I,J
75,13.975,0.025000000000000355,J,A
75,14.175,0.02499999999999858,A,B
75,14.375,0.025000000000000355,B,C
75,14.575,0.025000000000000355,C,D
75,14.775,0.025000000000000355,D,E
75,14.975,0.025000000000000355,E,F
75,15.175,0.02499999999999858,F,G
75,15.375,0.025000000000000355,G,H
75,15.575,0.025000000000000355,H,I
75,15.775,0.025000000000000355,I,J
75,15.975,0.025000000000000355,J,A
75,16.175,0.02499999999999858,A,B
75,16.375,0.02500000000000213,B,C
75,16.575,0.02500000000000213,C,D
75,16.775000000000002,0.02499999999999858,D,E
75,16.975,0.02499999999999858,E,F
75,17.175,0.02499999999999858,F,G
75,17.375,0.02500000000000213,G,H
75,17.575,0.02500000000000213,H,I
75,17.775000000000002,0.02499999999999858,I,J
75,17.975,0.02499999999999858,J,A
75,18.175,0.02499999999999858,A,B
75,18.375,0.02499999999999858,B,C
75,18.575,0.02500000000000213,C,D
75,18.775,0.02500000000000213,D,E
75,18.975,0.02499999999999858,E,F
75,19.175,0.02500000000000213,F,G
75,19.375,0.02499999999999858,G,H
75,19.575000000000003,0.02499999999999858,H,I
75,19.775,0.02500000000000213,I,J
75,19.975,0.02499999999999858,J,A
75,20.175,0.02500000000000213,A,B
75,20.375,0.02499999999999858,B,C
75,20.575000000000003,0.02499999999999858,C,D
75,20.775,0.02500000000000213,D,E
75,20.975,0.02499999999999858,E,F
75,21.175,0.02500000000000213,F,G
75,21.375,0.02499999999999858,G,H
75,21.575000000000003,0.02499999999999858,H,I
75,21.775,0.02500000000000213,I,J
75,21.975,0.02499999999999858,J,A
75,22.175,0.02500000000000213,A,B
75,22.375,0.02499999999999858,B,C
75,22.575000000000003,0.02499999999999858,C,D
75,22.775,0.02500000000000213,D,E
75,22.975,0.02499999999999858,E,F
75,23.175,0.02500000000000213,F,G
75,23.375,0.02499999999999858,G,H
75,23.575000000000003,0.02499999999999858,H,I
75,23.775,0.02500000000000213,I,J
75,23.975,0.02499999999999858,J,A
75,24.175,0.02500000000000213,A,B
75,24.375,0.02499999999999858,B,C
75,24.575000000000003,0.02499999999999858,C,D
75,24.775,0.02500000000000213,D,E
75,24.975,0.02499999999999858,E,F
75,25.175,0.02500000000000213,F,G
75,25.375,0.02499999999999858,G,H
75,25.575000000000003,0.02499999999999858,H,I
75,25.775,0.02500000000000213,I,J
75,25.975,0.02499999999999858,J,A
75,26.175,0.02500000000000213,A,B
75,26.375,0.02499999999999858,B,C
75,26.575000000000003,0.02499999999999858,C,D
75,26.775,0.02500000000000213,D,E
75,26.975,0.02499999999999858,E,F
75,27.175,0.02500000000000213,F,G
75,27.375,0.02499999999999858,G,H
75,27.575000000000003,0.02499999999999858,H,I
75,27.775,0.02500000000000213,I,J
75,27.975,0.02499999999999858,J,A
75,28.175,0.02500000000000213,A,B
75,28.375,0.02499999999999858,B,C
75,28.575000000000003,0.02499999999999858,C,D
75,28.775,0.02500000000000213,D,E
75,28.975,0.02499999999999858,E,F
75,29.175,0.02500000000000213,F,G
75,29.375,0.02499999999999858,G,H
75,29.575000000000003,0.02499999999999858,H,I
75,29.775,0.02500000000000213,I,J
75,29.975,0.02499999999999858,J,A
75,30.175,0.02500000000000213,A,B
75,30.375,0.02499999999999858,B,C
75,30.575000000000003,0.02499999999999858,C,D
75,30.775,0.02500000000000213,D,E
75,30.975,0.02499999999999858,E,F
75,31.175,0.02500000000000213,F,G
75,31.375,0.02499999999999858,G,H
75,31.575000000000003,0.02499999999999858,H,I
75,31.775,0.02500000000000213,I,J
75,31.975,0.02499999999999858,J,A
75,32.175000000000004,0.02499999999999858,A,B
75,32.375,0.02499999999999858,B,C
75,32.575,0.02499999999999858,C,D
75,32.775,0.025000000000005684,D,E
75,32.975,0.02499999999999858,E,F
75,33.175000000000004,0.02499999999999858,F,G
75,33.375,0.02499999999999858,G,H
75,33.575,0.02499999999999858,H,I
75,33.775,0.025000000000005684,I,J
75,33.975,0.02499999999999858,J,A
75,34.175000000000004,0.02499999999999858,A,B
75,34.375,0.02499999999999858,B,C
75,34.575,0.02499999999999858,C,D
75,34.775,0.025000000000005684,D,E
75,34.975,0.02499999999999858,E,F
75,35.175000000000004,0.02499999999999858,F,G
75,35.375,0.02499999999999858,G,H
75,35.575,0.02499999999999858,H,I
75,35.775,0.025000000000005684,I,J
75,35.975,0.02499999999999858,J,A
75,36.175,0.025000000000005684,A,B
75,36.375,0.02499999999999858,B,C
75,36.575,0.02499999999999858,C,D
75,36.775,0.02499999999999858,D,E
75,36.975,0.02499999999999858,E,F
75,37.175,0.025000000000005684,F,G
75,37.375,0.02499999999999858,G,H
75,37.575,0.02499999999999858,H,I
75,37.775,0.02499999999999858,I,J
