,time,gaze_target
0,0.0,A
1,0.05,A
2,0.1,A
3,0.15000000000000002,A
4,0.2,A
5,0.25,B
6,0.30000000000000004,B
7,0.35000000000000003,B
8,0.4,B
9,0.45,B
10,0.5,C
11,0.55,C
12,0.6000000000000001,C
13,0.65,C
14,0.7000000000000001,C
15,0.75,D
16,0.8,D
17,0.8500000000000001,D
18,0.9,D
19,0.9500000000000001,D
20,1.0,E
21,1.05,E
22,1.1,E
23,1.1500000000000001,E
24,1.2000000000000002,E
25,1.25,F
26,1.3,F
27,1.35,F
28,1.4000000000000001,F
29,1.4500000000000002,F
30,1.5,G
31,1.55,G
32,1.6,G
33,1.6500000000000001,G
34,1.7000000000000002,G
35,1.75,H
36,1.8,H
37,1.85,H
38,1.9000000000000001,H
39,1.9500000000000002,H
40,2.0,I
41,2.0500000000000003,I
42,2.1,I
43,2.15,I
44,2.2,I
45,2.25,J
46,2.3000000000000003,J
47,2.35,J
48,2.4000000000000004,J
49,2.45,J
50,2.5,K
51,2.5500000000000003,K
52,2.6,K
53,2.6500000000000004,K
54,2.7,K
55,2.75,L
56,2.8000000000000003,L
57,2.85,L
58,2.9000000000000004,L
59,2.95,L
60,3.0,M
61,3.0500000000000003,M
62,3.1,M
63,3.1500000000000004,M
64,3.2,M
65,3.25,N
66,3.3000000000000003,N
67,3.35,N
68,3.4000000000000004,N
69,3.45,N
70,3.5,O
71,3.5500000000000003,O
72,3.6,O
73,3.6500000000000004,O
74,3.7,O
75,3.75,P
76,3.8000000000000003,P
77,3.85,P
78,3.9000000000000004,P
79,3.95,P
80,4.0,Q
81,4.05,Q
82,4.1000000000000005,Q
83,4.15,Q
84,4.2,Q
85,4.25,R
86,4.3,R
87,4.3500000000000005,R
88,4.4,R
89,4.45,R
90,4.5,S
91,4.55,S
92,4.6000000000000005,S
93,4.65,S
94,4.7,S
95,4.75,T
96,4.800000000000001,T
97,4.8500000000000005,T
98,4.9,T
99,4.95,T
100,5.0,U
101,5.050000000000001,U
102,5.1000000000000005,U
103,5.15,U
