participant,time_point,trans_dur,Source,Target
167,0.175,0.025000000000000022,A,B
167,0.375,0.025000000000000022,B,C
167,0.5750000000000001,0.025000000000000022,C,D
167,0.775,0.025000000000000022,D,E
167,0.975,0.025000000000000022,E,F
167,1.175,0.025000000000000133,F,G
167,1.375,0.02499999999999991,G,H
167,1.5750000000000002,0.02499999999999991,H,I
167,1.775,0.025000000000000133,I,J
167,1.975,0.02499999999999991,J,A
167,2.1750000000000003,0.02499999999999991,A,B
167,2.375,0.025000000000000355,B,C
167,2.575,0.02499999999999991,C,D
167,2.7750000000000004,0.02499999999999991,D,E
167,2.975,0.02499999999999991,E,F
167,3.1750000000000003,0.02499999999999991,F,G
167,3.375,0.025000000000000355,G,H
167,3.575,0.02499999999999991,H,I
167,3.775,0.02499999999999991,I,J
167,3.975,0.02499999999999991,J,A
167,4.175,0.025000000000000355,A,B
167,4.375,0.025000000000000355,B,C
167,4.575,0.025000000000000355,C,D
167,4.775,0.025000000000000355,D,E
167,4.9750000000000005,0.024999999999999467,E,F
167,5.175000000000001,0.024999999999999467,F,G
167,5.375,0.025000000000000355,G,H
167,5.575,0.025000000000000355,H,I
167,5.775,0.025000000000000355,I,J
167,5.9750000000000005,0.024999999999999467,J,A
167,6.175000000000001,0.024999999999999467,A,B
167,6.375,0.025000000000000355,B,C
167,6.575,0.025000000000000355,C,D
167,6.775,0.025000000000000355,D,E
167,6.9750000000000005,0.024999999999999467,E,F
167,7.175000000000001,0.024999999999999467,F,G
167,7.375,0.025000000000000355,G,H
167,7.575,0.024999999999999467,H,I
167,7.775,0.025000000000000355,I,J
167,7.975,0.025000000000000355,J,A
167,8.175,0.025000000000000355,A,B
167,8.375,0.025000000000000355,B,C
167,8.575000000000001,0.02499999999999858,C,D
167,8.775,0.025000000000000355,D,E
167,8.975,0.025000000000000355,E,F
167,9.175,0.02499999999999858,F,G
167,9.375,0.025000000000000355,G,H
167,9.575,0.025000000000000355,H,I
167,9.775,0.025000000000000355,I,J
167,9.975,0.025000000000000355,J,A
167,10.175,0.02499999999999858,A,B
167,10.375,0.025000000000000355,B,C
167,10.575,0.025000000000000355,C,D
167,10.775,0.025000000000000355,D,E
167,10.975,0.025000000000000355,E,F
167,11.175,0.02499999999999858,F,G
167,11.375,0.025000000000000355,G,H
167,11.575,0.025000000000000355,H,I
167,11.775,0.025000000000000355,I,J
167,11.975,0.025000000000000355,J,A
167,12.175,0.02499999999999858,A,B
167,12.375,0.025000000000000355,B,C
167,12.575,0.025000000000000355,C,D
167,12.775,0.025000000000000355,D,E
167,12.975,0.025000000000000355,E,F
167,13.175,0.02499999999999858,F,G
167,13.375,0.025000000000000355,G,H
167,13.575,0.025000000000000355,H,I
167,13.775,0.025000000000000355,I,J
167,13.975,0.025000000000000355,J,A
167,14.175,0.02499999999999858,A,B
167,14.375,0.025000000000000355,B,C
167,14.575,0.025000000000000355,C,D
167,14.775,0.025000000000000355,D,E
167,14.975,0.025000000000000355,E,F
167,15.175,0.02499999999999858,F,G
167,15.375,0.025000000000000355,G,H
167,15.575,0.025000000000000355,H,I
167,15.775,0.025000000000000355,I,J
167,15.975,0.025000000000000355,J,A
167,16.175,0.02499999999999858,A,B
167,16.375,0.02500000000000213,B,C
167,16.575,0.02500000000000213,C,D
167,16.775000000000002,0.02499999999999858,D,E
167,16.975,0.02499999999999858,E,F
167,17.175,0.02499999999999858,F,G
167,17.375,0.02500000000000213,G,H
167,17.575,0.02500000000000213,H,I
