,time,gaze_target
0,0.0,A
1,0.02,A
2,0.04,A
3,0.06,A
4,0.08,A
5,0.1,A
6,0.12,A
7,0.14,A
8,0.16,A
9,0.18,A
10,0.2,B
11,0.22,B
12,0.24,B
13,0.26,B
14,0.28,B
15,0.3,B
16,0.32,B
17,0.34,B
18,0.36,B
19,0.38,B
20,0.4,C
21,0.42,C
22,0.44,C
23,0.46,C
24,0.48,C
25,0.5,C
26,0.52,C
27,0.54,C
28,0.56,C
29,0.58,C
30,0.6,D
31,0.62,D
32,0.64,D
33,0.66,D
34,0.68,D
35,0.7000000000000001,D
36,0.72,D
37,0.74,D
38,0.76,D
39,0.78,D
40,0.8,E
41,0.8200000000000001,E
42,0.84,E
43,0.86,E
44,0.88,E
45,0.9,E
46,0.92,E
47,0.9400000000000001,E
48,0.96,E
49,0.98,E
50,1.0,F
51,1.02,F
52,1.04,F
53,1.06,F
54,1.08,F
55,1.1,F
56,1.12,F
57,1.1400000000000001,F
58,1.16,F
59,1.18,F
60,1.2,G
61,1.22,G
62,1.24,G
63,1.26,G
64,1.28,G
65,1.3,G
66,1.32,G
67,1.34,G
68,1.36,G
69,1.3800000000000001,G
70,1.4000000000000001,H
71,1.42,H
72,1.44,H
73,1.46,H
74,1.48,H
75,1.5,H
76,1.52,H
77,1.54,H
78,1.56,H
79,1.58,H
80,1.6,I
81,1.62,I
82,1.6400000000000001,I
83,1.6600000000000001,I
84,1.68,I
85,1.7,I
86,1.72,I
87,1.74,I
88,1.76,I
89,1.78,I
90,1.8,J
91,1.82,J
92,1.84,J
93,1.86,J
94,1.8800000000000001,J
95,1.9000000000000001,J
96,1.92,J
97,1.94,J
98,1.96,J
99,1.98,J
100,2.0,A
101,2.02,A
102,2.04,A
103,2.06,A
104,2.08,A
105,2.1,A
106,2.12,A
107,2.14,A
108,2.16,A
109,2.18,A
110,2.2,B
111,2.22,B
112,2.24,B
113,2.2600000000000002,B
114,2.2800000000000002,B
115,2.3000000000000003,B
116,2.32,B
117,2.34,B
118,2.36,B
119,2.38,B
120,2.4,C
121,2.42,C
122,2.44,C
123,2.46,C
124,2.48,C
125,2.5,C
126,2.52,C
127,2.54,C
128,2.56,C
129,2.58,C
130,2.6,D
131,2.62,D
132,2.64,D
133,2.66,D
134,2.68,D
135,2.7,D
136,2.72,D
137,2.74,D
138,2.7600000000000002,D
139,2.7800000000000002,D
140,2.8000000000000003,E
141,2.82,E
142,2.84,E
143,2.86,E
144,2.88,E
145,2.9,E
146,2.92,E
147,2.94,E
148,2.96,E
149,2.98,E
150,3.0,F
151,3.02,F
152,3.04,F
153,3.06,F
154,3.08,F
155,3.1,F
156,3.12,F
157,3.14,F
158,3.16,F
159,3.18,F
160,3.2,G
161,3.22,G
162,3.24,G
163,3.2600000000000002,G
164,3.2800000000000002,G
165,3.3000000000000003,G
166,3.3200000000000003,G
167,3.34,G
168,3.36,G
169,3.38,G
170,3.4,H
171,3.42,H
172,3.44,H
173,3.46,H
174,3.48,H
175,3.5,H
176,3.52,H
177,3.54,H
178,3.56,H
179,3.58,H
180,3.6,I
181,3.62,I
182,3.64,I
183,3.66,I
184,3.68,I
185,3.7,I
186,3.72,I
187,3.74,I
188,3.7600000000000002,I
189,3.7800000000000002,I
190,3.8000000000000003,J
191,3.8200000000000003,J
192,3.84,J
193,3.86,J
194,3.88,J
195,3.9,J
196,3.92,J
197,3.94,J
198,3.96,J
199,3.98,J
200,4.0,A
201,4.0200000000000005,A
202,4.04,A
203,4.0600000000000005,A
204,4.08,A
205,4.1,A
206,4.12,A
207,4.14,A
208,4.16,A
209,4.18,A
210,4.2,B
