,time,gaze_target
0,0.0,A
1,0.02,A
2,0.04,A
3,0.06,A
4,0.08,A
5,0.1,A
6,0.12,A
7,0.14,A
8,0.16,A
9,0.18,A
10,0.2,B
11,0.22,B
12,0.24,B
13,0.26,B
14,0.28,B
15,0.3,B
16,0.32,B
17,0.34,B
18,0.36,B
19,0.38,B
20,0.4,C
21,0.42,C
22,0.44,C
23,0.46,C
24,0.48,C
25,0.5,C
26,0.52,C
27,0.54,C
28,0.56,C
29,0.58,C
30,0.6,D
31,0.62,D
32,0.64,D
33,0.66,D
34,0.68,D
35,0.7000000000000001,D
36,0.72,D
37,0.74,D
38,0.76,D
39,0.78,D
40,0.8,A
41,0.8200000000000001,A
42,0.84,A
43,0.86,A
44,0.88,A
45,0.9,A
46,0.92,A
47,0.9400000000000001,A
48,0.96,A
49,0.98,A
50,1.0,B
51,1.02,B
52,1.04,B
53,1.06,B
54,1.08,B
55,1.1,B
56,1.12,B
57,1.1400000000000001,B
58,1.16,B
59,1.18,B
60,1.2,C
61,1.22,C
62,1.24,C
63,1.26,C
64,1.28,C
65,1.3,C
66,1.32,C
67,1.34,C
68,1.36,C
69,1.3800000000000001,C
70,1.4000000000000001,D
71,1.42,D
72,1.44,D
73,1.46,D
74,1.48,D
75,1.5,D
76,1.52,D
77,1.54,D
78,1.56,D
79,1.58,D
80,1.6,A
81,1.62,A
82,1.6400000000000001,A
83,1.6600000000000001,A
84,1.68,A
85,1.7,A
86,1.72,A
87,1.74,A
88,1.76,A
89,1.78,A
90,1.8,B
91,1.82,B
92,1.84,B
93,1.86,B
94,1.8800000000000001,B
95,1.9000000000000001,B
96,1.92,B
97,1.94,B
98,1.96,B
99,1.98,B
